type,text
Retweet,"Como mujer Chilena, estoy feliz de ser Candidata del partido Republicano y representar a la Araucanía en el consejo constitucional, decirles a todas las personas de mi región este 7  Vote C-17. 
Vota con Ganas, Vota Campana https://t.co/jq02JEwbmq"
Retweet,"PORQUE ESTE ES MI PAÍS Y LO VOY A DEFENDER VOTA #C17 PARA DEFENDER LA CONSTITUCIÓN QUE NOS HIZO GRANDES, PARA DEFENDER NUESTRAS FFAA Y DE ORDEN, LA LIBERTAD Y LA VIDA. LES DESEO A TODOS FELIZ #DiaDelTrabajador #1deMayo https://t.co/nWEUOWUhZb"
Retweet,"Esta fecha nos invita a recordar el valioso aporte personal y profesional que brinda cada persona, quienes día a día y con gran vocación, contribuyen al desarrollo de nuestro País.
¡Feliz Día del Trabajador!
#NinoskaPayaunaConsejeraC9 
#DiaDelTrabajador https://t.co/7TGGEcvxsW"
Retweet,"Junto al equipo de la lista C de #LosRíos seguimos REcorriendo la región #Lanco, #Malalhue, #Panguipulli, #LosLagos, #Reumén y #Paillaco REpublicanos en terreno!!
@payorca4 @PRChile  🇨🇱🇨🇱 https://t.co/ipWc05vqyX"
Retweet,Cviene RE…
Retweet,"Muchas gracias a los que nos han apoyado. En especial a los que se nos unieron hoy en Valle Simpson para celebrar el día del Trabajo trabajando por Chile!

Vamos que quedan solo 5 días!!!
💪👍🇨🇱

#SoloQuedaRepublicanos 

@joseantoniokast 
@PRChile 
@AysenRepublican https://t.co/K7L1b8CPFX"
Retweet,"Siempre presente con nuestros queridos #Carabineros
Tendrán mi respaldo, admiración y respeto por siempre! 

#YoApoyoACarabineros #Carabineros96Anos #SiempreCarabinero"
Retweet,¿Alguien me explica por qué el gobierno marchó el 1 de mayo para exigirle cambios al gobierno? https://t.co/WxP1cZoF2u
Retweet,"📢¡Atencion! Recuerda que debes revisar tu local de votación en https://t.co/wAMJQfeZYi . El voto es obligatorio. 
#ApoderadosChile https://t.co/qff7uEP0hf"
Tweet,"Arriba, a la derecha! ✌️🇨🇱 https://t.co/VoRiQlxBtk"
Retweet,"Gracias @monasterioR por tu apoyo y amistad. Tanto en Chile como en España las mujeres estamos llamadas a enfrentar las ideas refundacionales de la izquierda. Esa valentía por la defensa de la libertad es la que une países.

Este 7 de mayo #VotaMujer

#ParaVivirSinMiedo https://t.co/o6TkL0CYA8"
Tweet,"1 de Mayo, 13:00 en Pedro Aguirre Cerda. Un hombre de 57 años es asesinado a balazos, frente a su familia, por un grupo de delincuentes.

¿Cómo estuvo tu feriado? ¿Asesinaron a alguien de tu familia en la mitad del día?

Así está Chile. ¿Y el Presidente? Viendo futbol. https://t.co/VJGRetckEj"
Tweet,"Camino a Arica, la ciudad de la eterna primavera, hoy asediada por la delincuencia, el narcotráfico y la inmigración ilegal. ¿Por qué seguimos permitiendo que destruyan Chile? Recuperar y Reconstruir! https://t.co/UsC5TP2hnP"
Tweet,Quedan 6 días para la elección! ¿Cómo votan? https://t.co/ATQm1TBULy
Tweet,"En este #1DeMayo nuestro compromiso es con los trabajadores que se esfuerzan día a día para sacar adelante a sus familias. Por más crecimiento en libertad, empleos formales y de calidad, y oportunidades para progresar. Feliz día a los trabajadores! https://t.co/j6BslKaGEw"
Retweet,"Este 7 de mayo recuerda votar por Republicanos, vota C 12, vota por la región de Aysén 🇨🇱🗳️

#Libertad #Chile #partidorepublicano https://t.co/ADQJnSyS4a"
Retweet,"Muchísimas gracias por el apoyo @DipCristobal 🇨🇱
“No podemos vivir con miedo, arrinconados por la delincuencia y la violencia, encerrándonos las victimas para dejarle la calle a los delincuentes.”
En la región del Biobío vota C-11 Claudia Ortega🇨🇱 https://t.co/I8hqdM1gzi"
Retweet,Para recuperar Chile.  Gracias a Benjamin  Somos Republicanos Este 7 mayo #SoloQuedaRepublicanosListaC https://t.co/M2aQdbiI17
Retweet,Vamos con todo!! #VotaRepublicanos 🇨🇱
Retweet,"Muchas gracias a nuestros militantes de Puerto Cisnes por su apoyo en él puerta a puerta de ayer! 💪🇨🇱👍

#SoloQuedaRepublicanos 

@joseantoniokast 
@AysenRepublican 
@PRChile https://t.co/Bvc9vikMWM"
Retweet,"Gracias a todos quienes me acompañaron y se sumaron hoy a la Caravana.
¡Seguiremos trabajando por Chile!

CON C-9 ¡TARAPACÁ SE MUEVE!

#VotaREpublicanos🇨🇱
#VotaNinoskaPayauna 
#VotaC9🇨🇱 https://t.co/RLaJflKiBO"
Retweet,"¡Quedan pocos días! Inscríbete en https://t.co/Occ5qaxAkz. Este 7 de mayo ayúdanos a defender los
votos. https://t.co/6zrdokiLKK"
Retweet,@profesor_silva #HayEquipo ♥️💪🇨🇱
Retweet,"Este fue el mensaje final del debate de candidatos a Consejeros Constitucionales que tuve el honor de compartir con @MacarenaBravo_ Este próximo domingo Chile tiene la oportunidad de REcuperar y REconstruir su futuro. Vota lista C de Republicanos.
#ConsejeroLuisSilva #ElProfeSabe https://t.co/iL4mDC5lf2"
Tweet,"El próximo Domingo, es el primer día de un nuevo comienzo. 

El próximo Domingo, no te equivoques, vota por Chile, vota Republicano 🇨🇱✌️ https://t.co/ygRHTDflFr"
Retweet,"Termino el 1er bloque! 
Con todo! 
#SoloQuedaRepublicanos 

Gracias por su apoyo ♥️💪🇨🇱
#ElDebateTVN https://t.co/OqgQ3MtWXF"
Retweet,La dupla republicana de Luis Silva y Macarena Bravo en #ElDebateTVN es con creces Superior al resto.
Retweet,"La constitución no es la culpable de los problemas de Chile. Esto se podía solucionar vía leyes y gestión.
#ConsejeroLuisSilva #ElProfeSabe https://t.co/hGyJLhDSPz"
Tweet,Los Republicanos estamos en todos los frentes. Aquí nuestro candidato por Tarapaca Leonardo Ramos @Leonard61989640 en foro organizado por diario La Estrella de Iquique y la CCHC https://t.co/wdF6uhEGB1
Tweet,"El próximo Domingo, será el primer día de un nuevo comienzo para Chile, donde millones comenzaremos a Reconstruir y Recuperar nuestro querido país.

El próximo Domingo, #VotaRepublicano
#SoloQuedaRepublicanos https://t.co/frXcgHdfhp"
Retweet,Les comparto resumen del debate realizado en Santa Cruz. Ideas claras y una defensa con argumento y convicción es lo que necesitamos en el consejo constitucional. #VotaRepublicano #VotaC10 #VotaFigueroa #Elconsejerodekast https://t.co/AkvzHMwzc7
Tweet,"¿Hasta cuando las volteretas? Hoy el Presidente se indigna por la violencia en los estadios pero cuando tuvo la oportunidad de perseguir a los delincuentes, eligió la violencia."
Tweet,"El Presidente Boric prometió que los damnificados en los incendios tendrían una casa antes del invierno. No solo no cumplió, sino que a la primera lluvia fuerte colapsó todo. Gobierno incompetente! https://t.co/lBZzlAYS3W"
Tweet,"Terminando la #ReGiraRepublicana por la región del Maule junto a nuestro diputado y jefe de bancada @BenjaminMorenob y los candidatos Republicanos @hojasdelvalle @greisparada @RicardOrtegaPR @idilia_maria @MiguelRojasCL 
Este Domingo 7 de a Mayo vota #ListaC https://t.co/T9HfO5pW0v"
